credit_score,annual_income,loan_amount,loan_term_years,risk_label
628,474647,21095,2,0
758,22930,44687,2,0
700,104729,34397,5,0
650,43137,17393,3,0
723,112048,30709,4,1
709,18464,26183,4,1
669,21802,28915,3,0
703,32186,26373,3,0
680,63778,36896,4,0
705,35851,28456,5,0
733,101442,24379,4,1
779,136150,35421,5,0
638,96728,27332,5,0
806,218606,26214,2,0
602,83504,28140,3,0
692,22617,24063,2,1
729,178207,25092,5,0
714,36896,19133,4,0
668,124036,17488,2,0
689,210867,15014,4,0
675,86279,11080,5,1
670,18089,16202,4,1
742,28722,23257,2,1
717,172507,26031,5,0
665,52297,22287,3,0
744,63809,1442,2,0
715,109870,40745,2,0
740,104512,35864,3,0
731,74834,29457,5,0
658,50668,44074,3,0
671,46623,15226,2,0
737,118933,43876,5,0
730,93232,15347,4,0
698,48735,27387,2,1
705,142299,12261,4,0
763,54001,25146,3,0
670,30292,28861,5,1
727,32624,23453,3,0
689,27364,32138,4,0
689,48149,25990,2,0
754,160649,19775,5,0
741,31442,19331,3,0
740,69618,33109,4,0
765,35406,18462,4,0
701,48618,34154,2,0
734,17889,37227,4,0
684,50189,8312,5,0
716,51278,36329,4,0
693,92247,45604,2,0
704,71583,27520,3,0
729,22954,30990,5,0
659,142537,35370,3,0
804,70844,22245,3,0
649,70172,26822,4,0
639,59435,11858,4,0
757,39568,26386,2,0
739,71270,29981,4,0
731,87594,30161,4,1
731,14801,35654,3,1
699,38909,17251,5,0
655,48827,19673,4,0
703,73492,43955,5,0
666,155538,23496,4,0
748,32293,27000,4,0
692,40200,24329,2,0
658,39734,16783,4,0
683,31532,41235,2,0
720,45353,19722,3,0
671,110928,13727,5,0
658,25769,20492,4,0
712,84309,4982,2,0
712,15343,18487,3,0
674,38212,15318,4,1
676,46000,31174,2,0
711,228636,18265,2,1
627,48057,33878,3,0
629,10290,38984,4,0
664,12099,32811,4,0
689,61526,22846,5,0
715,97832,26411,4,0
773,80851,9750,2,0
742,68463,23662,5,0
692,151722,16395,5,0
699,38883,31943,4,0
649,122507,50727,5,0
699,16226,29998,2,0
685,29028,5088,2,0
716,14106,21387,3,0
658,48056,26224,2,0
725,57698,25873,3,0
776,65596,17691,5,0
694,62912,27452,3,0
720,28508,12574,4,0
734,51421,15550,3,0
679,18070,31457,4,0
711,178185,14843,5,0
700,46962,30382,3,0
704,40493,11305,2,0
661,213448,42648,4,0
701,22163,17257,5,0
724,24331,22763,2,0
772,24909,28306,4,0
747,56709,19346,5,1
807,84567,26434,5,0
661,108200,30753,2,1
743,468642,34606,5,0
709,9901,32914,3,0
809,97439,23281,5,0
659,38341,23533,4,0
658,37453,48491,4,0
670,36467,34498,4,0
593,28940,15781,3,0
673,230410,25999,2,0
662,117458,21648,3,0
707,60995,23646,3,0
717,176453,12705,3,0
793,17853,20880,5,0
747,20649,43115,2,1
671,10484,30790,5,0
655,34216,88,3,0
724,68142,37167,4,0
633,65009,35896,3,1
791,67472,21407,2,0
758,19363,32172,4,0
676,113837,16406,2,0
614,72526,20297,3,0
767,107628,39985,2,0
694,13171,22282,5,0
761,76817,6302,4,0
620,23150,24366,2,1
670,43570,24214,4,0
700,91811,36983,4,1
702,64400,25143,3,0
677,30295,20784,3,0
731,60175,35450,4,0
646,17584,26207,2,0
692,150273,17499,4,0
706,50806,36549,3,0
725,146508,26936,2,0
735,39291,25029,4,0
643,39384,26779,3,0
623,32488,14293,4,0
763,120685,19723,4,0
716,33943,25035,4,0
662,100275,23053,2,0
777,44092,37724,3,0
705,12323,27174,3,0
758,37939,33549,5,0
703,23311,25093,4,0
803,61520,35562,4,0
787,23101,28975,5,0
687,125590,25134,4,0
748,55666,24867,2,0
732,51944,15455,5,0
768,101185,30069,3,0
651,129459,24597,4,0
734,58919,19980,3,1
752,32307,36064,4,0
612,14484,12497,5,0
640,34584,20775,3,0
598,36542,35277,4,0
686,65228,28155,2,0
735,45427,24521,5,0
775,103812,27510,4,0
703,36666,26794,4,0
781,57203,9833,4,0
630,154382,21507,5,1
614,78704,41165,4,0
697,57066,18406,4,0
719,36991,21816,3,0
698,36077,19583,3,0
596,30318,24129,5,0
695,38839,19168,5,0
634,109593,29867,2,0
733,50135,26973,4,0
718,20336,32735,3,0
653,246356,14490,3,0
674,77340,21596,4,0
647,19427,22742,4,0
696,42046,29556,5,0
747,65428,17067,2,0
650,234139,34156,2,0
725,24674,36864,5,0
673,130722,15111,5,0
660,183430,20091,3,0
694,36209,19680,5,1
648,47953,51323,2,0
672,26132,20700,3,0
640,50880,41776,2,0
798,58146,12333,4,0
701,101490,15103,2,0
665,143221,18133,3,0
710,32909,16543,2,1
694,12408,22321,3,0
688,58865,17912,3,0
730,75722,16806,5,1
737,73096,36584,2,0
673,46104,37237,5,0
671,66158,34492,5,1
686,201260,30239,2,0
584,81258,25927,3,0
624,44413,20029,4,0
768,40128,15468,2,0
782,52266,28629,5,0
687,221769,13263,5,1
728,51707,15060,3,0
715,58933,36529,5,0
853,40706,44006,4,1
755,144233,28932,5,0
693,287181,36064,3,0
652,85861,22541,2,0
619,63973,11623,3,1
710,61662,31121,5,1
662,8888,30692,3,0
628,108675,25716,5,0
667,66658,22576,3,0
645,84345,34622,2,0
784,33888,15142,5,1
744,44021,17262,4,0
699,43095,14918,4,0
773,135577,25849,4,0
703,44222,14121,4,0
656,316832,18157,5,0
776,84515,17942,5,0
726,21578,22393,2,1
648,54022,10126,3,1
690,35548,25872,5,0
656,10347,37473,4,0
630,215254,26354,5,0
746,105083,40413,4,0
795,91726,38339,2,0
630,68344,32777,3,0
728,19818,25746,5,0
667,40664,25225,3,0
675,117409,32637,4,0
670,25823,21083,4,0
656,7899,6174,3,0
702,49926,29920,2,0
658,53454,13689,3,0
713,66732,15378,3,0
697,107238,25002,5,0
688,99716,24048,5,0
654,73645,10879,4,0
671,155815,26654,5,0
737,17762,34661,2,0
725,89649,13716,2,0
651,98837,37724,2,1
704,22211,9398,4,0
737,17992,46173,2,0
616,32966,20887,2,1
727,35269,26456,5,0
666,109396,6079,4,0
728,36620,24378,3,0
661,30179,27284,2,0
609,36705,24138,5,0
618,146518,19369,3,0
702,60502,15534,2,0
712,51875,36305,3,1
654,54830,25308,3,0
731,168324,40407,4,0
616,32881,19735,4,0
696,171511,20652,2,0
639,70855,33155,2,0
667,52662,8770,4,0
702,442732,12865,2,0
656,25731,35974,2,0
680,45118,13280,4,0
750,22338,6809,3,0
671,128279,43685,2,1
741,231272,11061,5,0
643,227735,26841,4,0
726,159397,25690,2,0
772,51118,-3106,2,1
576,44703,22326,4,1
660,15725,29484,5,0
728,305192,28543,5,0
689,87132,34035,4,0
718,40393,21125,5,0
669,173242,32125,2,0
704,27495,18106,5,0
692,82892,10895,2,0
758,52150,12022,3,0
712,99801,10378,5,0
716,56905,35095,3,0
679,18755,9854,4,0
675,63605,27740,5,0
678,138564,22340,2,0
719,58490,23973,5,0
678,111311,38636,4,0
714,25940,20615,4,0
803,58629,31116,2,0
743,36329,25375,5,0
683,108834,23479,3,1
760,61401,47999,4,0
679,103990,10586,4,0
598,142938,37891,2,0
649,104119,31564,5,1
606,74495,20204,3,0
682,26941,41293,5,0
700,59740,6518,5,0
783,39086,19782,3,0
716,45467,12915,2,0
689,44372,29120,4,0
741,27338,13869,2,0
589,12508,29330,2,0
711,35083,23135,5,0
738,69891,20206,3,0
626,20362,28886,4,1
757,60630,22313,5,0
716,273816,14113,4,0
679,135733,53013,5,0
731,222979,20128,3,0
813,81871,2823,4,0
709,152360,16579,4,0
712,33551,12327,2,0
677,35757,33261,5,0
657,6692,28216,5,0
741,154649,28987,5,0
657,205306,21299,2,0
703,38463,22206,2,0
676,48866,21290,4,0
723,32758,24188,5,0
716,81318,33353,5,0
751,147258,28360,4,0
674,14850,30001,4,0
686,83079,29995,4,0
651,47985,33844,3,1
677,65559,27881,3,0
718,86439,28588,4,0
737,51505,36888,2,0
653,55112,18349,2,0
743,50458,16442,5,0
767,130125,13140,3,0
720,83701,26829,3,0
793,71429,6462,4,0
661,21660,29621,4,0
637,44229,23908,4,0
611,122876,36346,4,0
774,61707,18280,4,0
732,101480,22966,2,0
697,246030,36222,2,0
713,137432,38831,4,0
643,64506,18198,2,0
822,39783,26817,4,0
706,7763,27944,4,0
705,52328,28736,3,0
736,46128,22374,2,0
724,81821,37813,2,0
711,52937,6102,3,0
660,46336,20788,2,0
723,14421,29479,3,1
794,28226,29572,5,0
767,87668,38527,2,0
779,236268,36982,4,1
674,55380,22144,3,1
650,77827,37998,4,0
693,128281,17859,4,0
702,31297,34308,2,1
754,80294,43105,3,0
615,33110,37149,5,0
776,119594,26057,4,0
692,67583,21682,4,1
678,76020,9714,5,0
649,32013,28105,3,0
617,105411,13847,2,0
741,317353,17068,4,0
703,26733,13092,2,1
635,45624,20396,3,0
635,72062,24720,5,0
683,112321,27736,2,0
783,38267,18994,3,0
687,6207,35692,2,0
624,177611,22917,2,0
687,110018,17122,4,0
686,14848,27262,2,0
565,36825,44635,4,0
697,209933,28351,3,0
688,190658,21371,3,0
734,126869,9725,4,1
792,52005,22805,5,0
756,63984,27349,2,0
686,53920,21124,3,0
644,147648,8346,3,0
828,29712,16494,5,1
702,31425,39545,3,0
700,134352,39340,4,0
698,57786,16133,5,0
709,180371,31727,3,0
692,34989,13214,5,0
671,57306,39043,5,0
672,28625,27452,3,0
698,60227,34496,3,1
672,18345,7849,3,0
664,40533,31776,5,1
705,18977,24923,4,0
687,104311,33519,4,0
775,106220,34148,2,0
567,14999,25657,3,0
754,174051,18991,4,0
762,441499,32796,2,0
596,62118,24398,2,0
682,35850,16272,3,0
681,573472,15798,2,0
629,20844,10228,4,0
661,60845,19897,2,1
644,69126,36026,2,0
787,175627,26778,4,0
746,79840,19702,2,0
763,40178,33048,2,0
736,27974,16675,5,0
643,45548,25953,2,0
673,26754,23203,2,0
724,62209,32791,5,0
638,38125,9227,5,0
735,18119,16498,5,0
687,163426,8617,3,0
681,40209,22404,3,0
735,21709,37114,4,0
722,52333,19945,2,0
681,63240,19893,4,1
757,14806,33717,3,0
645,78066,35685,2,0
730,25907,24114,2,0
729,235348,31847,5,0
684,91050,14230,3,0
716,43481,38779,2,0
637,32986,46487,5,0
746,55051,30212,2,1
690,97756,4156,3,0
673,58665,19417,4,0
752,50325,31128,4,0
664,62736,20785,2,0
629,36934,37721,5,0
622,45498,30881,5,0
730,11286,17935,5,0
635,130480,25322,3,0
787,76041,16061,4,0
595,32248,23174,4,0
784,273481,19454,2,0
710,64190,36747,4,0
695,26136,46160,5,0
672,118822,10688,3,0
719,82325,5767,5,0
698,82097,22548,5,0
755,42590,9815,4,0
705,85853,25462,3,0
707,48561,32489,3,0
681,93409,39941,5,0
697,13043,27013,2,0
715,42315,23068,4,0
614,237452,5216,2,0
632,32414,25261,5,0
737,36935,25712,4,0
708,41840,31389,2,0
690,22655,17915,2,1
700,10233,20649,2,0
717,49788,10219,4,0
673,66748,2087,2,0
661,57411,13915,3,1
709,53321,9296,5,0
651,61971,28367,4,0
720,135709,19818,3,0
614,51412,19617,2,0
751,37825,15155,5,0
723,47815,-7325,2,0
712,95175,40083,3,0
749,185279,14997,2,0
783,36224,20875,4,0
750,64805,10451,3,0
607,78486,34719,4,0
636,27063,26434,5,0
668,60860,16736,4,0
701,18535,21077,4,0
725,14541,41781,2,0
663,80289,24270,2,0
709,44042,23182,3,0
662,70391,15586,5,1
669,59023,6054,3,0
629,27415,23399,5,0
653,57745,28254,5,0
632,22326,35995,4,0
651,182184,2515,2,1
752,20236,13749,5,0
652,51193,19192,2,0
831,26008,24965,5,0
724,94498,23549,2,0
709,45929,23783,3,0
657,39539,29080,2,0
735,118487,15967,4,0
671,61300,34341,5,1
706,90519,29334,4,0
828,27308,21801,5,0
695,19460,41009,4,0
757,65235,40564,5,0
664,46393,34328,2,0
698,98829,-5185,5,0
788,56166,40789,4,0
668,70548,32947,4,0
790,16338,45064,5,0
735,271237,37374,5,0
671,52501,40783,3,0
731,104617,33786,3,0
748,30672,38486,2,0
731,76604,44941,2,0
621,21114,27165,2,0
663,85961,9277,2,0
687,45036,21925,2,0
696,61288,28899,5,0
731,104650,25748,3,0
708,22336,12534,5,1
633,34627,8689,3,0
719,86323,17588,3,0
730,320801,33077,4,1
727,53612,40803,4,1
754,96077,34165,3,0
741,54963,35574,5,0
722,283168,24191,3,1
696,14797,7579,2,0
616,64582,20447,5,0
721,16310,22412,5,0
710,8060,20029,3,0
713,75960,25546,2,0
636,66943,29414,3,0
645,47673,33530,2,0
752,54997,22218,5,0
698,714000,5962,3,0
734,48701,20171,2,0
701,90048,25437,4,0
701,35614,37228,5,0
746,75825,19321,5,0
674,49484,30125,4,0
704,43113,27900,2,0
676,256560,25439,5,0
678,153544,34305,2,0
684,66795,18391,4,0
711,9477,19248,3,0
676,44855,24880,5,0
762,520435,18598,5,0
655,49785,30080,2,0
690,144722,17868,5,0
678,189767,27263,3,0
772,71337,23998,4,0
709,30532,27149,5,0
751,8533,20402,4,0
625,103500,21609,2,0
713,31200,25960,3,0
744,68935,27020,5,0
704,22029,24957,4,1
753,48426,42053,3,0
674,61511,15092,4,0
770,74226,24357,2,0
814,24542,9263,3,0
681,155987,28720,3,0
677,37141,13847,2,1
772,15684,22216,2,0
778,54873,21279,5,0
673,61543,27808,2,0
678,68082,19472,2,0
685,178029,19046,4,0
632,49555,39358,3,0
654,54410,27845,4,1
649,24771,19389,2,0
661,115432,22491,5,0
698,69386,41453,4,0
711,42786,22648,4,0
777,13046,18107,3,0
650,190142,18150,3,0
749,22423,19508,3,0
689,37308,19055,5,1
697,79751,12203,5,0
733,22988,13757,2,0
643,18127,16706,2,0
719,10947,30915,3,0
708,106595,21187,4,1
724,38709,22928,3,1
714,622697,37700,2,0
822,27024,37950,4,0
668,28648,22178,2,1
673,38089,18691,5,0
668,72729,16355,3,0
672,41103,31927,3,0
668,97720,22952,4,0
759,27367,21135,3,0
771,19825,16863,2,0
671,14206,17303,2,0
658,10108,28200,5,0
723,39558,11845,2,0
672,47061,34948,4,0
731,36128,19661,2,0
710,161898,23503,5,0
624,159919,11630,5,1
777,45805,24876,3,0
789,14255,21716,4,1
669,38049,24499,2,0
680,37054,39717,5,0
714,35393,26776,2,0
716,34263,17053,5,0
732,35497,17886,3,1
800,43948,30951,5,0
691,36010,37986,3,0
660,70732,27819,4,0
631,79881,31887,2,1
663,28896,31097,2,0
698,165520,39190,3,0
789,27335,5504,4,0
674,16411,31672,3,0
711,81196,34837,5,0
699,31134,11612,3,0
759,77422,16143,4,0
826,8752,16492,5,0
673,182401,17712,2,1
675,102522,20182,2,0
752,18026,27426,2,0
734,18342,33656,4,0
792,228162,35813,4,0
729,33193,16621,4,0
682,30719,16552,4,0
729,9770,38158,4,0
755,45223,31467,5,0
741,49902,25828,3,0
725,106127,29733,2,0
753,19550,24701,4,0
758,17743,30245,2,1
769,85885,21639,4,0
732,133971,27688,2,0
691,17035,9894,3,0
707,142231,18122,2,0
760,61699,18229,2,1
659,143407,21256,4,0
718,56603,15734,5,0
680,7959,19664,5,0
701,53020,9855,2,0
763,139820,30487,5,0
709,29290,24174,3,0
702,43898,7947,3,0
632,52004,16651,5,0
737,5886,28366,5,0
732,227994,19569,3,1
808,29111,18030,5,0
684,89732,24254,5,0
710,55861,28435,4,0
712,163749,10636,4,0
778,82854,30501,5,0
695,49615,16997,5,0
713,29295,24820,4,0
730,113355,24645,4,0
709,13376,19729,5,0
677,100379,14763,4,0
709,24853,22143,3,0
753,163052,41253,2,0
648,68120,11383,3,0
706,100237,41923,4,0
664,63933,22402,3,0
759,14736,25353,2,1
623,30074,14132,4,0
672,102530,17287,3,1
718,68413,19970,3,0
778,154012,14543,2,0
696,82670,22910,4,0
672,27629,20929,5,0
794,31670,43507,4,1
627,65012,13340,2,0
590,9402,26026,2,0
722,228377,27478,2,0
674,85254,14296,2,0
648,159791,31868,5,0
735,16907,21016,4,0
712,162048,76,4,0
671,356895,31598,3,0
635,20812,13830,5,0
743,110981,14522,5,0
732,59927,31879,3,0
695,17403,21528,3,0
792,88814,34177,4,0
646,116644,37101,4,1
623,37015,18550,4,0
665,152166,32932,5,1
697,15781,17445,5,0
712,18109,47331,3,0
687,66787,18070,2,0
717,61102,35260,2,0
637,33750,33437,2,0
772,114425,28160,2,0
695,91556,18294,2,1
755,118956,23486,4,0
717,54257,3464,3,0
722,96961,27244,2,0
728,41918,28496,2,1
722,309605,26334,2,0
732,31255,-4733,4,0
766,322622,12343,2,0
709,61568,17519,3,0
735,19922,27916,4,0
695,178878,27893,4,0
772,66218,23297,5,0
666,118290,31352,5,0
790,159386,14737,4,1
697,78461,31102,2,0
628,37279,29747,2,1
706,130688,28775,2,0
665,59910,23179,2,0
742,103640,43307,5,0
667,10689,29931,3,0
677,85612,15316,4,1
605,35922,27483,2,0
677,224728,32524,5,0
578,98564,19118,3,1
620,72539,35892,4,0
738,88348,28820,4,0
739,26936,1575,4,0
721,219389,27996,2,0
651,294518,20939,4,0
697,81988,30371,2,0
699,213698,34442,3,0
642,37974,26951,5,0
775,31644,41652,5,0
743,61866,23212,5,0
688,84791,31248,4,0
701,43687,33049,5,0
710,92061,24026,3,0
597,76505,32787,2,0
687,26939,19053,5,0
665,90674,20774,2,0
649,119470,11875,2,0
685,68677,27414,5,0
789,150560,28252,5,1
732,22608,36792,5,0
671,87060,32911,4,0
728,23476,22152,5,1
769,24556,13218,4,0
746,36143,29328,3,0
702,28179,36107,2,0
667,38623,32551,3,0
734,50447,35844,5,0
719,116975,22881,2,0
744,46308,20333,5,0
731,16839,17630,5,1
752,149052,24441,2,1
673,30648,24214,3,0
765,57126,27066,5,0
709,85581,23707,2,0
803,70241,23663,3,0
665,143679,17233,4,0
786,87833,34416,3,0
709,30060,25765,3,0
667,342097,23255,2,0
675,69945,17525,3,0
683,53216,11680,4,0
721,129461,38079,4,0
726,73098,30546,5,0
671,82403,8760,4,0
698,439655,32631,5,1
807,48045,34224,4,0
786,46434,26243,3,0
721,65726,40981,5,0
701,141098,27167,4,0
706,17939,10831,3,0
730,12426,28651,3,0
648,37432,27448,5,0
687,16201,18967,2,0
616,42622,30735,3,0
719,89500,8323,3,0
732,29360,34905,2,0
675,19120,16218,5,0
778,63289,15150,4,0
638,119376,23861,4,0
626,15429,29329,3,0
711,115403,26639,2,0
752,115133,17573,3,0
784,128446,19939,5,0
677,158702,13669,3,0
753,348575,22753,4,1
698,45031,35750,2,0
691,65359,24957,5,0
744,42909,33594,3,0
732,59968,39554,4,0
621,204086,19119,3,0
773,20414,23134,4,1
769,30066,46711,2,0
668,180185,39443,5,0
719,135405,8275,3,0
724,44779,28871,5,0
713,118601,25005,2,0
672,78666,33264,4,0
666,198832,17550,2,0
698,63551,16603,2,1
758,136012,18239,5,0
727,495642,19280,2,0
681,96614,33153,3,0
738,62284,13187,4,0
557,106719,18773,2,0
757,44702,7109,3,0
613,404486,35071,4,0
681,69151,37710,5,0
644,48129,21729,4,0
635,30682,22020,5,0
758,144029,29532,4,0
676,119820,39744,2,0
717,40219,29086,5,0
697,94955,18024,5,0
723,17910,8811,5,0
703,69423,13848,2,0
635,86008,25732,2,0
749,234653,18446,4,0
675,32316,26949,4,0
622,21532,19470,2,0
678,29250,14418,2,0
775,20552,13229,5,0
742,174438,40623,4,0
682,206676,33889,4,0
682,77355,42305,5,1
683,159059,30399,5,0
803,66647,20700,5,0
719,55487,38233,3,0
721,45870,24669,3,0
751,46708,27208,2,0
711,17357,24571,4,0
687,73969,-4469,5,0
690,57973,41047,5,0
696,108693,29910,4,0
698,64525,28298,3,0
736,52566,24382,4,0
702,29823,26634,2,0
736,63431,19027,3,0
695,108075,31165,4,0
703,23988,11929,4,0
600,64214,26860,2,0
745,72145,30615,4,0
717,33709,23013,3,1
749,37410,28708,5,0
555,72004,15086,5,1
804,24179,15341,5,0
693,79216,27367,3,0
755,29252,31785,4,0
648,140123,6251,4,0
730,388583,30220,4,1
647,30073,19567,4,0
668,91799,23071,5,0
795,33476,11604,3,0
690,137690,16483,2,0
710,21759,34661,3,1
743,87945,25328,4,0
724,29780,21172,4,0
707,50737,23835,3,0
718,26243,29892,3,1
820,115598,29404,5,0
697,30650,24249,4,1
710,93113,35929,3,0
752,45466,34704,4,0
755,54634,29133,3,0
759,67386,25546,4,0
731,32550,31573,3,0
642,70848,28142,4,0
781,203672,35608,2,0
642,32129,33995,5,0
715,152886,14817,2,0
662,198486,14140,5,0
696,31165,17987,5,0
716,18693,34761,3,0
716,76234,9236,2,0
721,38641,28947,5,1
780,266967,28625,4,0
722,61564,36626,3,0
687,31515,26803,3,0
748,23915,11567,4,0
759,143189,15406,4,0
638,37913,13180,5,0
729,62010,19620,4,0
735,128623,23170,3,0
685,40643,13345,4,0
768,57714,39706,2,0
692,59085,11747,3,1
706,103430,38461,4,1
691,96047,36851,3,0
700,50206,33983,5,0
645,63001,18062,2,0
627,44470,28424,5,0
779,18359,12226,2,0
657,73576,34109,4,0
650,272053,24260,3,0
592,29525,20906,4,0
668,32259,12762,5,0
633,29834,224,3,0
782,106902,14614,4,0
750,85715,36127,4,0
665,52742,20971,3,1
812,28726,23306,3,0
749,64466,31555,5,0
683,17125,43056,2,0
575,67153,38250,2,0
